Offense,Offense Conference,Defense,Defense Conference,Game Id,Id,Drive Number,Scoring,Start Period,Start Yardline,Start Yards To Goal,Start Time Minutes,Start Time Seconds,End Period,End Yardline,End Yards To Goal,End Time Minutes,End Time Seconds,Elapsed Minutes,Elapsed Seconds,Plays,Yards,Drive Result,Is Home Offense,Start Offense Score,Start Defense Score,End Offense Score,End Defense Score
Baylor,Big 12,Air Force,Mountain West,401636860,40163686012,12,TRUE,2,45,55,0,8,2,67,33,0,0,0,8,2,22,FG,TRUE,3,3,6,3
Baylor,Big 12,Air Force,Mountain West,401636860,40163686013,13,TRUE,3,25,75,15,0,3,100,0,12,38,2,22,7,75,TD,TRUE,6,3,13,3
Air Force,Mountain West,Baylor,Big 12,401636860,40163686014,14,FALSE,3,75,75,12,38,3,74,74,10,43,1,55,3,1,PUNT,FALSE,3,13,3,13
Baylor,Big 12,Air Force,Mountain West,401636860,40163686015,15,TRUE,3,36,64,10,43,3,100,0,8,4,2,39,7,64,TD,TRUE,13,3,20,3
Air Force,Mountain West,Baylor,Big 12,401636860,40163686016,16,FALSE,3,75,75,8,4,3,66,66,5,29,2,35,5,9,FUMBLE,FALSE,3,20,3,20
Baylor,Big 12,Air Force,Mountain West,401636860,40163686017,17,TRUE,3,66,34,5,35,3,93,7,1,58,3,37,8,27,FG,TRUE,20,3,23,3
Air Force,Mountain West,Baylor,Big 12,401636860,40163686018,18,FALSE,3,75,75,1,58,3,66,66,0,4,1,54,4,9,DOWNS,FALSE,3,23,3,23
Baylor,Big 12,Air Force,Mountain West,401636860,40163686019,19,TRUE,3,67,33,0,4,4,100,0,14,50,0,14,2,33,TD,TRUE,23,3,31,3
Air Force,Mountain West,Baylor,Big 12,401636860,40163686020,20,FALSE,4,75,75,14,50,4,67,67,12,53,1,57,3,8,PUNT,FALSE,3,31,3,31
Baylor,Big 12,Air Force,Mountain West,401636860,40163686021,21,FALSE,4,38,62,12,53,4,74,26,7,55,4,58,8,36,MISSED FG,TRUE,31,3,31,3
Air Force,Mountain West,Baylor,Big 12,401636860,40163686022,22,FALSE,4,74,74,7,55,4,53,53,6,23,1,32,3,21,INT,FALSE,3,31,3,31
Baylor,Big 12,Air Force,Mountain West,401636860,40163686023,23,FALSE,4,49,51,6,23,4,77,23,0,0,6,23,9,28,END OF GAME,TRUE,31,3,31,3
Baylor,Big 12,Colorado,Big 12,401636874,4016368741,1,FALSE,1,75,75,15,0,1,69,69,13,10,1,50,3,6,PUNT,FALSE,0,0,0,0
