"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Seconds","Elapsed Minutes","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"Washington State","Pac-12","Texas Tech","Big 12","401636859","40163685913","13","true","2","98","2","7","54","2","100","0","7","53","1","0","1","2","TD","true","21","3","21","3"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685914","14","true","2","75","75","7","53","2","0","0","5","33","20","2","6","75","TD","false","3","21","10","21"
"Washington State","Pac-12","Texas Tech","Big 12","401636859","40163685915","15","false","2","25","75","5","33","2","71","29","1","32","1","4","10","46","MISSED FG","true","21","10","21","10"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685916","16","false","2","71","71","1","32","2","60","60","0","56","36","0","5","11","INT","false","10","21","10","21"
"Washington State","Pac-12","Texas Tech","Big 12","401636859","40163685917","17","true","2","62","38","0","56","2","100","0","0","25","31","0","3","38","TD","true","21","10","27","10"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685918","18","false","2","70","70","0","21","2","49","49","0","0","21","0","4","21","END OF HALF","false","10","27","10","27"
"Washington State","Pac-12","Texas Tech","Big 12","401636859","40163685919","19","false","3","25","75","15","0","3","92","8","9","34","26","5","9","67","DOWNS","true","27","10","27","10"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685920","20","false","3","92","92","9","34","3","49","49","5","36","58","3","7","43","DOWNS","false","10","27","10","27"
"Washington State","Pac-12","Texas Tech","Big 12","401636859","40163685921","21","true","3","49","51","5","36","3","100","0","3","13","23","2","6","51","TD","true","27","10","34","10"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685922","22","false","3","57","57","3","7","4","17","17","14","3","4","4","8","40","INT","false","10","34","10","34"
"Washington State","Pac-12","Texas Tech","Big 12","401636859","40163685923","23","false","4","4","96","14","3","4","23","77","11","14","49","2","5","19","PUNT","true","34","10","34","10"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685924","24","true","4","61","61","11","14","4","0","0","9","21","53","1","7","61","TD","false","10","34","16","34"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685925","25","false","4","55","55","9","21","4","24","24","8","3","18","1","6","31","DOWNS","false","16","34","16","34"
"Washington State","Pac-12","Texas Tech","Big 12","401636859","40163685926","26","true","4","24","76","8","3","4","92","8","5","57","6","2","6","68","FG","true","34","16","37","16"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685927","27","false","4","75","75","5","57","4","84","84","4","21","36","1","3","-9","PUNT","false","16","37","16","37"
"Washington State","Pac-12","Texas Tech","Big 12","401636859","40163685928","28","false","4","41","59","4","21","4","61","39","1","6","15","3","5","20","PUNT","true","37","16","37","16"
"Texas Tech","Big 12","Washington State","Pac-12","401636859","40163685929","29","false","4","95","95","1","6","4","36","36","0","0","6","1","5","59","END OF GAME","false","16","37","16","37"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","4016368681","1","false","1","75","75","15","0","1","72","72","13","21","39","1","3","3","PUNT","false","0","0","0","0"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","4016368682","2","true","1","44","56","13","21","1","100","0","10","17","4","3","8","56","TD","true","-2","0","7","0"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","4016368683","3","false","1","75","75","10","8","1","75","75","9","7","1","1","3","0","PUNT","false","0","12","0","12"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","4016368684","4","true","1","28","72","9","7","1","93","7","5","12","55","3","8","65","FG","true","10","0","17","0"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","4016368685","5","true","1","75","75","5","12","1","0","0","5","5","7","0","1","75","TD","false","0","10","14","11"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","4016368686","6","true","1","25","75","5","5","1","100","0","0","52","13","4","9","75","TD","true","5","0","17","14"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","4016368687","7","false","1","75","75","0","52","2","8","8","11","2","50","4","11","67","MISSED FG","false","0","-8","7","14"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","4016368688","8","true","2","20","80","11","2","2","100","0","10","22","40","0","2","80","TD","true","4","0","21","7"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","4016368689","9","true","2","75","75","10","22","2","66","66","9","50","32","0","2","9","INT TD","false","7","21","7","28"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686810","10","false","2","75","75","9","50","2","75","75","9","43","7","0","1","0","INT","false","7","28","7","28"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686811","11","true","2","75","25","9","43","2","100","0","9","30","13","0","1","25","TD","true","28","7","35","7"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686812","12","false","2","75","75","9","30","2","68","68","7","46","44","1","3","7","PUNT","false","7","35","7","35"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686813","13","true","2","25","75","7","46","2","100","0","6","5","41","1","4","75","TD","true","35","7","42","7"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686814","14","false","2","71","71","5","57","2","71","71","5","55","2","0","1","0","INT","false","7","42","7","42"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686815","15","true","2","70","30","5","55","2","100","0","3","8","47","2","6","30","TD","true","42","7","49","7"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686816","16","false","2","75","75","3","8","2","70","70","1","42","26","1","3","5","PUNT","false","7","42","7","42"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686817","17","false","2","44","56","1","42","2","56","44","0","7","35","1","5","12","PUNT","true","36","7","42","7"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686818","18","false","2","89","89","0","7","2","82","82","0","0","7","0","1","7","END OF HALF","false","7","36","7","49"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686819","19","false","3","25","75","15","0","3","31","69","13","41","19","1","3","6","PUNT","true","49","7","49","7"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686820","20","false","3","64","64","13","41","3","59","59","12","37","4","1","3","5","PUNT","false","7","49","7","49"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686821","21","false","3","10","90","12","37","3","27","73","10","7","30","2","5","17","INT","true","49","7","49","7"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686822","22","true","3","18","18","10","7","3","0","0","9","9","58","0","4","18","TD","false","7","49","14","49"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686823","23","false","3","25","75","9","9","3","45","55","7","10","59","1","5","20","PUNT","true","49","14","49","14"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686824","24","false","3","82","82","7","10","3","57","57","5","33","37","1","6","25","DOWNS","false","14","49","14","49"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686825","25","true","3","57","43","5","33","3","100","0","4","6","27","1","4","43","TD","true","49","14","56","14"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686826","26","false","3","75","75","4","6","3","71","71","2","25","41","1","3","4","PUNT","false","14","56","14","56"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686827","27","true","3","21","79","2","25","4","100","0","12","50","35","4","9","79","TD","true","56","14","63","14"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686828","28","true","4","75","75","12","50","4","0","0","9","19","31","3","8","75","TD","false","14","63","21","63"
"Texas Tech","Big 12","North Texas","American Athletic","401636868","40163686829","29","false","4","25","75","9","19","4","33","67","6","46","33","2","3","8","PUNT","true","63","21","63","21"
"North Texas","American Athletic","Texas Tech","Big 12","401636868","40163686830","30","false","4","65","65","6","46","4","7","7","0","0","46","6","12","58","END OF GAME","false","21","63","21","63"
